gene,sector,Product,function,functional class,general class,location,envelope_function,COG_functionname,COG_function,COG-id,cAMP
yggS,u-sector,PLP homeostasis protein,,,,CP,,General function prediction only,R,COG0325,no
yggT,a-sector,uncharacterized protein YggT,,,,IM,membrane protein,Function unknown,S,COG0762,no
yggU,a-sector,DUF167 domain-containing protein YggU,,,,CP,,Function unknown,S,COG1872,no
yggW,ra-sector,,,,,CP,,Coenzyme transport and metabolism,H,COG0635,no
yggX,u-sector,putative Fe<sup>2+</sup>-trafficking protein,,,,CP,,notdefined,PO,COG2924,no
yghA,rca-sector,NADP<sup>+</sup>-dependent aldehyde reductase,,,,CP,,notdefined,IQR,COG1028,no
yghB,s-sector,DedA family protein YghB,,,,IM,membrane protein,Function unknown,S,COG0586,no
yghD,rca-sector,putative type II secretion system M-type protein,,,,IM,other,"Intracellular trafficking, secretion, and vesicular transport",U,COG3149,no
yghE,rca-sector,putative type II secretion system L-type protein,,,,CP,,notdefined,notdefined,,no
yghF,r-sector,putative type II secretion system C-type protein,,,,PE,other,notdefined,notdefined,,no
yghG,r-sector,lipoprotein YghG,,,,LPO,other,notdefined,notdefined,,yes
yghJ,r-sector,putative lipoprotein YghJ,,,,LPI,lipoprotein,notdefined,notdefined,,no
yghO,rca-sector,putative DNA-binding transcriptional regulator YghO,,,,CP,,notdefined,notdefined,,no
yghQ,ra-sector,putative transport protein YghQ,,,,IM,membrane protein,Cell wall/membrane/envelope biogenesis,M,COG2244,no
yghR,ra-sector,putative ATP-binding protein YghR,,,,CP,,Nucleotide transport and metabolism,F,COG0125,no
yghS,ra-sector,putative ATP-binding protein YghS,,,,CP,,Nucleotide transport and metabolism,F,COG0125,no
yghT,ra-sector,putative ATP-binding protein YghT,,,,CP,,Nucleotide transport and metabolism,F,COG0125,no
yghU,s-sector,disulfide reductase / organic hydroperoxide reductase,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0625,no
yghW,rca-sector,DUF2623 domain-containing protein YghW,,,,CP,,notdefined,notdefined,,no
yghX_1,rca-sector,,,,,CP,,notdefined,notdefined,,no
yghX_2,s-sector,,,,,CP,,notdefined,notdefined,,no
yghZ,s-sector,,,,,CP,,General function prediction only,R,COG0667,no
ygiA,ra-sector,,,,,CP,,notdefined,notdefined,,no
ygiB,s-sector,DUF1190 domain-containing protein YgiB,,,,OM,membrane protein,Function unknown,S,COG5463,no
ygiC,a-sector,putative acid&mdash;amine ligase YgiC,,,,CP,,Amino acid transport and metabolism,E,COG0754,no
ygiD,s-sector,"4,5-DOPA dioxygenase extradiol",,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG3384,no
ygiF,a-sector,inorganic triphosphatase,,,,CP,,Inorganic ion transport and metabolism,P,COG3025,no
ygiH,rca-sector,,,,,IM,membrane protein,Lipid transport and metabolism,I,COG0344,no
ygiL,a-sector,putative fimbrial protein YgiL,,,,EC,other,Cell motility,N,COG3539,no
ygiM,s-sector,putative signal transduction protein (SH3 domain),,,,IM,other,Function unknown,S,COG4991,no
ygiN,a-sector,putative quinol monooxygenase YgiN,,,,CP,,Energy production and conversion,C,COG1359,no
ygiQ,r-sector,radical SAM superfamily protein YgiQ,,,,CP,,General function prediction only,R,COG1032,no
ygiS,s-sector,putative deoxycholate binding periplasmic protein,,,,PE,transporter,Amino acid transport and metabolism,E,COG4166,yes
ygiV,rca-sector,DNA-binding transcriptional repressor YgiV,,,,CP,,"Replication, recombination and repair",L,COG3449,no
ygiW,rca-sector,BOF family protein YgiW,,,,PE,other,Function unknown,S,COG3111,no
ygiZ,rca-sector,DUF2645 domain-containing inner membrane protein YgiZ,,,,IM,membrane protein,notdefined,notdefined,,no
ygjH,s-sector,putative tRNA-binding protein YgjH,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0073,no
ygjI,rca-sector,putative transporter YgjI,,,,IM,transporter,Amino acid transport and metabolism,E,COG0531,no
ygjJ,rca-sector,protein YgjJ,,,,PE,other,notdefined,notdefined,,no
ygjK,rca-sector,glycoside hydrolase,,,,PE,other,Carbohydrate transport and metabolism,G,COG1626,no
ygjP,u-sector,putative metal-dependent hydrolase,,,,CP,,General function prediction only,R,COG1451,no
ygjQ,ra-sector,DUF218 domain-containing protein YgjQ,,,,IM,other,Cell wall/membrane/envelope biogenesis,M,COG2949,no
ygjR,s-sector,putative oxidoreductase YgjR,,,,CP,,General function prediction only,R,COG0673,no
ygjV,ra-sector,inner membrane protein,,,,IM,membrane protein,notdefined,notdefined,,no
yhaB,rca-sector,protein YhaB,,,,CP,,notdefined,notdefined,,no
yhaC,s-sector,uncharacterized protein YhaC,,,,CP,,notdefined,notdefined,,no
yhaH,ra-sector,putative inner membrane protein,,,,IM,membrane protein,Function unknown,S,COG3152,no
yhaI,rca-sector,putative inner membrane protein,,,,IM,membrane protein,Function unknown,S,COG3152,no
yhaJ,rca-sector,DNA-binding transcriptional activator YhaJ,,,,CP,,Transcription,K,COG0583,no
yhaK,a-sector,bicupin-related protein,,,,CP,,General function prediction only,R,COG1741,no
yhaL,rca-sector,uncharacterized protein YhaL,,,,CP,,notdefined,notdefined,,no
yhaM,rca-sector,,,,,CP,,notdefined,notdefined,,no
yhaO,ra-sector,,,,,IM,transporter,notdefined,notdefined,,yes
yhaV,s-sector,ribosome-dependent mRNA interferase toxin YhaV,,,,CP,,notdefined,notdefined,,no
yhbE,ra-sector,inner membrane protein YhbE,,,,IM,membrane protein,notdefined,GER,COG0697,no
yhbO,rca-sector,protein/nucleic acid deglycase 2,,,,CP,,General function prediction only,R,COG0693,no
yhbP,rca-sector,putative FMN binding protein YhbP,,,,CP,,Function unknown,S,COG3787,no
yhbQ,a-sector,DNA damage response nuclease YhbQ,,,,CP,,"Replication, recombination and repair",L,COG2827,no
yhbS,s-sector,putative acyltransferase with acyl-CoA N-acyltransferase domain,,,,CP,,General function prediction only,R,COG3153,no
yhbT,s-sector,SCP2 domain-containing protein YhbT,,,,CP,,Lipid transport and metabolism,I,COG3154,no
yhbU,a-sector,putative peptidase YhbU,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0826,no
yhbV,a-sector,putative peptidase YhbV,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0826,no
yhbW,a-sector,putative luciferase-like monooxygenase,,,,CP,,notdefined,HR,COG2141,no
yhbX,ra-sector,putative hydrolase YhbX,,,,IM,other,Cell wall/membrane/envelope biogenesis,M,COG2194,no
yhbY,rca-sector,ribosome assembly factor YhbY,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG1534,no
yhcA,rca-sector,putative fimbrial chaperone YhcA,,,,CP,,Extracellular structures,W,COG3121,no
yhcB,s-sector,DUF1043 domain-containing protein YhcB,,,,IM,other,Function unknown,S,COG3105,no
yhcC,a-sector,radical SAM family oxidoreductase YhcC,,,,CP,,General function prediction only,R,COG1242,no
yhcD,rca-sector,putative fimbrial usher protein YhcD,,,,OM,membrane protein,notdefined,NW,COG3188,no
yhcF,rca-sector,DUF1120 domain-containing protein YhcF,,,,PE,other,notdefined,notdefined,,no
yhcG,rca-sector,DUF1016 domain-containing protein YhcG,,,,CP,,General function prediction only,R,COG4804,no
yhcH,s-sector,DUF386 domain-containing protein YhcH,,,,CP,,Carbohydrate transport and metabolism,G,COG2731,no
yhcN,ra-sector,DUF1471 domain-containing stress-induced protein YhcN,,,,PE,other,notdefined,notdefined,,yes
yhcO,s-sector,putative barnase inhibitor,,,,CP,,Transcription,K,COG2732,no
yhdE,rca-sector,nucleoside triphosphate pyrophosphatase YhdE,,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG0424,no
yhdH,s-sector,acrylyl-CoA reductase,,,,CP,,notdefined,CR,COG0604,no
yhdJ,rca-sector,DNA adenine methyltransferase,,,,CP,,"Replication, recombination and repair",L,COG2189,no
yhdN,rca-sector,DUF1992 domain-containing protein YhdN,,,,CP,,notdefined,notdefined,,no
yhdP,s-sector,outer membrane permeability factor YhdP,,,,CP,,Function unknown,S,COG3164,no
yhdT,rca-sector,DUF997 domain-containing protein YhdT,,,,IM,membrane protein,Function unknown,S,COG3924,no
yhdU,s-sector,DUF2556 domain-containing protein YhdU,,,,MR,membrane protein,notdefined,notdefined,,no
yhdV,a-sector,lipoprotein YhdV,,,,LPO,membrane protein,notdefined,notdefined,,no
yhdW,c-sector,putative ABC transporter periplasmic binding protein YhdW,,,,CP,,notdefined,notdefined,,no
yhdX,s-sector,putative ABC transporter membrane subunit YhdX,,,,IM,transporter,Amino acid transport and metabolism,E,COG4597,no
yhdY,s-sector,putative ABC transporter membrane subunit YhdY,,,,IM,transporter,Amino acid transport and metabolism,E,COG0765,no
yhdZ,rca-sector,putative ABC transporter ATP-binding subunit YhdZ,,,,CP,,Amino acid transport and metabolism,E,COG1126,no
yheO,s-sector,putative DNA-binding transcriptional regulator YheO,,,,CP,,Transcription,K,COG2964,no
yheS,ra-sector,ABC transporter ATP-binding protein YheS,,,,CP,,General function prediction only,R,COG0488,no
yheT,ra-sector,putative hydrolase YheT,,,,CP,,General function prediction only,R,COG0429,no
yheU,s-sector,UPF0270 family protein YheU,,,,CP,,Function unknown,S,COG3089,no
yheV,s-sector,DUF2387 domain-containing protein YheV,,,,CP,,General function prediction only,R,COG3529,no
yhfA,s-sector,OsmC family protein YhfA,,,,CP,,General function prediction only,R,COG1765,yes
yhfG,ra-sector,DUF2559 domain-containing protein YhfG,,,,CP,,notdefined,notdefined,,no
yhfK,ra-sector,putative transporter YhfK,,,,IM,membrane protein,Function unknown,S,COG1289,no
yhfL,s-sector,DUF4223 domain-containing lipoprotein YhfL,,,,MR,other,notdefined,notdefined,,no
yhfS,ra-sector,putative aminotransferase YhfS,,,,CP,,Amino acid transport and metabolism,E,COG0626,no
yhfT,rca-sector,uncharacterized protein YhfT,,,,IM,membrane protein,notdefined,notdefined,,no
yhfU,rca-sector,DUF2620 domain-containing protein YhfU,,,,CP,,notdefined,notdefined,,no
yhfW,rca-sector,putative mutase YhfW,,,,CP,,Carbohydrate transport and metabolism,G,COG1015,no
yhfX,rca-sector,putative PLP-binding protein YhfX,,,,CP,,Amino acid transport and metabolism,E,COG3457,no
yhfY,rca-sector,PRD domain-containing protein YhfY,,,,CP,,notdefined,notdefined,,no
yhfZ,rca-sector,putative DNA-binding transcriptional regulator YhfZ,,,,CP,,notdefined,notdefined,,no
yhgA,ra-sector,,,,,CP,,"Replication, recombination and repair",L,COG5464,no
yhgE,rca-sector,putative transport protein YhgE,,,,IM,membrane protein,notdefined,notdefined,,no
yhgF,u-sector,putative RNA-binding protein YhgF,,,,CP,,Transcription,K,COG2183,no
yhgN,rca-sector,putative inner membrane protein,,,,IM,transporter,Amino acid transport and metabolism,E,COG2095,no
yhhA,s-sector,DUF2756 domain-containing protein YhhA,,,,PE,other,notdefined,notdefined,,no
yhhH,rca-sector,PF15631 family protein YhhH,,,,IM,other,notdefined,notdefined,,no
yhhI,ra-sector,putative transposase,,,,CP,,"Mobilome: prophages, transposons",X,COG5433,no
yhhJ,s-sector,ABC transporter family protein YhhJ,,,,IM,transporter,Defense mechanisms,V,COG0842,no
yhhL,a-sector,DUF1145 domain-containing protein YhhL,,,,IM,membrane protein,Function unknown,S,COG3776,no
yhhM,s-sector,DUF2500 domain-containing protein YhhM,,,,CP,,notdefined,notdefined,,no
yhhN,s-sector,PF07947 family protein YhhN,,,,IM,membrane protein,Function unknown,S,COG3714,no
yhhQ,rca-sector,putative queuosine precursor transporter,,,,IM,membrane protein,Function unknown,S,COG1738,no
yhhS,ra-sector,putative transporter YhhS,,,,IM,transporter,notdefined,GEPR,COG0477,no
yhhT,rca-sector,putative transporter YhhT,,,,IM,membrane protein,General function prediction only,R,COG0628,no
yhhW,s-sector,"quercetin 2,3-dioxygenase",,,,CP,,General function prediction only,R,COG1741,no
yhhX,a-sector,putative oxidoreductase YhhX,,,,CP,,General function prediction only,R,COG0673,no
yhhY,a-sector,<i>N</i>-acetyltransferase YhhY,,,,CP,,Amino acid transport and metabolism,E,COG1247,no
yhhZ,s-sector,putative endonuclease YhhZ,,,,CP,,"Intracellular trafficking, secretion, and vesicular transport",U,COG3157,no
yhiD,rca-sector,inner membrane protein YhiD,,,,IM,membrane protein,Function unknown,S,COG1285,no
yhiI,rca-sector,putative membrane fusion protein YhiI,,,,IM,other,notdefined,MV,COG0845,no
yhiJ,s-sector,DUF4049 domain-containing protein YhiJ,,,,CP,,notdefined,notdefined,,no
yhiK,s-sector,,,,,CP,,notdefined,notdefined,,no
yhiL,rca-sector,putative uncharacterized protein YhiL,,,,CP,,notdefined,notdefined,,no
yhiM,rca-sector,inner membrane protein with a role in acid resistance,,,,IM,membrane protein,notdefined,notdefined,,no
yhiN,r-sector,putative oxidoreductase YhiN,,,,CP,,General function prediction only,R,COG2081,no
yhiS_1,rca-sector,,,,,CP,,notdefined,notdefined,,no
yhjA,rca-sector,,,,,PE,other,notdefined,notdefined,,no
yhjB,s-sector,putative DNA-binding transcriptional regulator YhjB,,,,CP,,notdefined,TK,COG2197,no
yhjC,rca-sector,putative DNA-binding transcriptional regulator YhjC,,,,CP,,Transcription,K,COG0583,no
yhjD,s-sector,putative transporter YhjD,,,,IM,membrane protein,Function unknown,S,COG1295,no
yhjE,a-sector,putative transporter YhjE,,,,IM,transporter,notdefined,GEPR,COG0477,no
yhjG,c-sector,AsmA family protein YhjG,,,,IM,other,Cell wall/membrane/envelope biogenesis,M,COG2982,no
yhjJ,rca-sector,peptidase M16 family protein YhjJ,,,,PE,other,General function prediction only,R,COG0612,no
yhjR,s-sector,PF10945 family protein YhjR,,,,CP,,notdefined,notdefined,,no
yhjV,rca-sector,putative transporter YhjV,,,,IM,transporter,Amino acid transport and metabolism,E,COG0814,no
yhjX,rca-sector,putative pyruvate transporter,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG2223,no
yhjY,rca-sector,protein YhjY,,,,OM,other,General function prediction only,R,COG5571,no
yiaA,rca-sector,PF05360 family inner membrane protein YiaA,,,,IM,membrane protein,Function unknown,S,COG4682,no
yiaB,rca-sector,PF05360 family inner membrane protein YiaB,,,,IM,membrane protein,Function unknown,S,COG4682,no
yiaC,s-sector,peptidyl-lysine <i>N</i>-acetyltransferase YiaC,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0456,no
yiaD,u-sector,PF13488 family lipoprotein YiaD,,,,IM,other,Cell wall/membrane/envelope biogenesis,M,COG2885,no
yiaF,ra-sector,DUF3053 domain-containing protein YiaF,,,,LPI,other,notdefined,notdefined,,no
yiaG,s-sector,putative DNA-binding transcriptional regulator YiaG,,,,CP,,Transcription,K,COG2944,no
yiaJ,a-sector,DNA-binding transcriptional repressor YiaJ,,,,CP,,Transcription,K,COG1414,yes
yiaK,s-sector,"2,3-diketo-L-gulonate reductase",,,,CP,,Energy production and conversion,C,COG2055,yes
yiaL,rca-sector,DUF386 domain-containing protein YiaL,,,,CP,,Carbohydrate transport and metabolism,G,COG2731,no
yiaM,rca-sector,"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit",,,,IM,transporter,Carbohydrate transport and metabolism,G,COG3090,no
yiaN,s-sector,"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit",,,,IM,transporter,Carbohydrate transport and metabolism,G,COG1593,no
yiaO,rca-sector,"2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - periplasmic binding protein",,,,PE,transporter,Carbohydrate transport and metabolism,G,COG1638,no
yiaT,rca-sector,outer membrane protein YiaT,,,,OM,other,Cell wall/membrane/envelope biogenesis,M,COG3713,no
yiaU,a-sector,putative LysR-type DNA-binding transcriptional regulator YiaU,,,,CP,,Transcription,K,COG0583,no
yiaV,ra-sector,putative membrane fusion protein,,,,IM,transporter,Defense mechanisms,V,COG1566,no
yiaW,rca-sector,DUF3302 domain-containing protein YiaW,,,,IM,membrane protein,notdefined,notdefined,,no
yiaY,rca-sector,L-threonine dehydrogenase,,,,CP,,Energy production and conversion,C,COG1454,no
yibA,rca-sector,putative lyase containing HEAT-repeat,,,,CP,,General function prediction only,R,COG1413,no
yibF,s-sector,glutathione transferase-like protein YibF,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0625,no
yibG,s-sector,tetratricopeptide-like domain-containing protein YibG,,,,PE,other,Signal transduction mechanisms,T,COG0790,no
yibH,rca-sector,inner membrane protein YibH,,,,IM,other,Defense mechanisms,V,COG1566,no
yibI,s-sector,DUF3302 domain-containing protein YibI,,,,IM,membrane protein,notdefined,notdefined,,no
yibJ,rca-sector,putative RHS domain-containing protein YibJ,,,,CP,,notdefined,notdefined,,no
yibL,u-sector,DUF2810 domain-containing protein YibL,,,,CP,,notdefined,notdefined,,no
yibN,s-sector,putative sulfurtransferase YibN,,,,CP,,Inorganic ion transport and metabolism,P,COG0607,no
yibQ,ra-sector,divergent polysaccharide deacetylase domain-containing protein YibQ,,,,PE,other,Carbohydrate transport and metabolism,G,COG2861,no
yibT,ra-sector,protein YibT,,,,CP,,notdefined,notdefined,,no
yibV,rca-sector,PF15596 family protein YibV,,,,CP,,notdefined,notdefined,,no
yicC,a-sector,UPF0701 family protein YicC,,,,CP,,Function unknown,S,COG1561,no
yicG,rca-sector,PF03458 family inner membrane protein YicG,,,,IM,membrane protein,Function unknown,S,COG2860,no
yicH,rca-sector,AsmA famly protein YicH,,,,CP,,notdefined,notdefined,,no
yicI,s-sector,&alpha;-D-xyloside xylohydrolase,,,,CP,,Carbohydrate transport and metabolism,G,COG1501,no
yicJ,rca-sector,putative xyloside transporter YicJ,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG2211,no
yicL,a-sector,putative transporter YicL,,,,IM,membrane protein,notdefined,GER,COG0697,no
yicN,s-sector,DUF1198 domain-containing protein YicN,,,,CP,,notdefined,notdefined,,no
yicR,s-sector,RadC-like JAB domain-containing protein YicR,,,,CP,,"Replication, recombination and repair",L,COG2003,no
yicS,ra-sector,uncharacterized protein YicS,,,,CP,,notdefined,notdefined,,no
yidA,a-sector,sugar phosphatase YidA,,,,CP,,notdefined,HR,COG0561,no
yidB,rca-sector,DUF937 domain-containing protein YidB,,,,CP,,Function unknown,S,COG3753,no
yidC,rc-sector,membrane protein insertase YidC,,,,IM,membrane protein,Cell wall/membrane/envelope biogenesis,M,COG0706,no
yidD,r-sector,membrane protein insertion efficiency factor,,,,CP,,Cell wall/membrane/envelope biogenesis,M,COG0759,no
yidE,rca-sector,putative transport protein YidE,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG0569,no
yidF,s-sector,uncharacterized protein YidF,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0641,no
yidG,s-sector,inner membrane protein YidG,,,,IM,membrane protein,notdefined,notdefined,,no
yidH,s-sector,DUF202 domain-containing inner membrane protein YidH,,,,IM,membrane protein,Function unknown,S,COG2149,no
yidI,s-sector,putative inner membrane protein,,,,IM,membrane protein,notdefined,notdefined,,no
yidJ,rca-sector,putative sulfatase/phosphatase YidJ,,,,CP,,Inorganic ion transport and metabolism,P,COG3119,no
yidK,rca-sector,putative transporter YidK,,,,IM,transporter,General function prediction only,R,COG4146,yes
yidL,s-sector,putative DNA-binding transcriptional regulator YidL,,,,CP,,Transcription,K,COG2207,no
yidP,ra-sector,putative DNA-binding transcriptional regulator YidP,,,,CP,,Transcription,K,COG2188,no
yidQ,s-sector,DUF1375 domain-containing putative lipoprotein YidQ,,,,LPI,membrane protein,Function unknown,S,COG5645,no
yidR,rca-sector,DUF3748 domain-containing galacturonate catabolism protein YidR,,,,CP,,"Intracellular trafficking, secretion, and vesicular transport",U,COG0823,no
yidX,s-sector,putative lipoprotein YidX,,,,MR,lipoprotein,notdefined,notdefined,,no
yidZ,a-sector,putative LysR-type transcriptional regulator YidZ,,,,CP,,Transcription,K,COG0583,no
yieE,s-sector,putative phosphopantetheinyl transferase,,,,CP,,Coenzyme transport and metabolism,H,COG2091,no
yieF,s-sector,chromate reductase,,,,CP,,Energy production and conversion,C,COG0431,no
yieH,s-sector,6-phosphogluconate phosphatase,,,,CP,,notdefined,GR,COG0637,no
yieK,rca-sector,putative glucosamine-6-phosphate deaminase YieK,,,,CP,,Carbohydrate transport and metabolism,G,COG0363,no
yieL,rca-sector,putative hydrolase YieL,,,,PE,other,Inorganic ion transport and metabolism,P,COG2382,no
yieP,u-sector,putative transcriptional regulator YieP,,,,CP,,Transcription,K,COG2186,no
yifB,rca-sector,putative magnesium chelatase YifB,,,,CP,,"Posttranslational modification, protein turnover, chaperones",O,COG0606,no
yifE,a-sector,,,,,CP,,notdefined,notdefined,,no
yifK,u-sector,putative transporter YifK,,,,IM,transporter,Amino acid transport and metabolism,E,COG1113,no
yifL,a-sector,putative lipoprotein YifL,,,,LPO,lipoprotein,Function unknown,S,COG5567,no
yifN,s-sector,putative toxin YifN,,,,CP,,notdefined,notdefined,,no
yifO,s-sector,,,,,CP,,notdefined,notdefined,,no
yigA,ra-sector,DUF484 domain-containing protein YigA,,,,CP,,Function unknown,S,COG3159,no
yigB,s-sector,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,,,,CP,,Coenzyme transport and metabolism,H,COG1011,no
yigE,ra-sector,DUF2233 domain-containing protein YigE,,,,PE,other,Function unknown,S,COG3698,no
yigF,s-sector,DUF2628 domain-containing protein YigF,,,,IM,membrane protein,notdefined,notdefined,,no
yigG,s-sector,inner membrane protein,,,,IM,membrane protein,notdefined,notdefined,,no
yigI,rca-sector,putative thioesterase YigI,,,,CP,,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG2050,no
yigL,s-sector,phosphosugar phosphatase YigL,,,,CP,,notdefined,HR,COG0561,no
yigM,rca-sector,,,,,IM,membrane protein,notdefined,GER,COG0697,no
yigZ,rca-sector,IMPACT family member YigZ,,,,CP,,General function prediction only,R,COG1739,no
yihA,a-sector,GTP-binding protein YihA,,,,CP,,"Cell cycle control, cell division, chromosome partitioning",D,COG0218,no
yihD,a-sector,DUF1040 domain-containing protein YihD,,,,CP,,Function unknown,S,COG3084,no
yihF,rca-sector,DUF945 domain-containing protein YihF,,,,CP,,Function unknown,S,COG5339,no
yihG,ra-sector,putative acyltransferase YihG,,,,IM,other,Lipid transport and metabolism,I,COG0204,no
yihI,r-sector,Der GTPase-activating protein YihI,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG3078,no
yihL,s-sector,putative transcriptional regulator YihL,,,,CP,,Transcription,K,COG2188,no
yihM,s-sector,putative TIM barrel domain-containing protein YihM,,,,CP,,Carbohydrate transport and metabolism,G,COG1082,no
yihN,s-sector,putative transporter YihN,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG2271,no
yihO,rca-sector,putative sulfoquinovose transporter,,,,IM,transporter,Carbohydrate transport and metabolism,G,COG2211,no
yihP,rca-sector,"putative 2,3-dihydroxypropane-1-sulfonate export protein",,,,IM,transporter,Carbohydrate transport and metabolism,G,COG2211,no
yihQ,rca-sector,sulfoquinovosidase,,,,CP,,Carbohydrate transport and metabolism,G,COG1501,no
yihR,rca-sector,putative aldose 1-epimerase YihR,,,,CP,,Carbohydrate transport and metabolism,G,COG2017,no
yihS,s-sector,sulfoquinovose isomerase,,,,CP,,Carbohydrate transport and metabolism,G,COG2942,no
yihT,s-sector,6-deoxy-6-sulfofructose-1-phosphate aldolase,,,,CP,,Carbohydrate transport and metabolism,G,COG3684,no
yihU,s-sector,3-sulfolactaldehyde reductase,,,,CP,,Lipid transport and metabolism,I,COG2084,no
yihV,rca-sector,6-deoxy-6-sulfofructose kinase,,,,CP,,Carbohydrate transport and metabolism,G,COG0524,no
yihW,rca-sector,,,,,CP,,notdefined,KG,COG1349,no
yihX,rca-sector,&alpha;-D-glucose-1-phosphate phosphatase,,,,CP,,Coenzyme transport and metabolism,H,COG1011,no
yihY,s-sector,putative inner membrane protein,,,,IM,membrane protein,Function unknown,S,COG1295,no
yiiD,s-sector,putative acetyltransferase YiiD,,,,CP,,Amino acid transport and metabolism,E,COG1246,no
yiiE,rca-sector,putative DNA-binding transcriptional regulator YiiE,,,,CP,,notdefined,notdefined,,no
yiiF,rca-sector,protein YiiF,,,,CP,,notdefined,notdefined,,no
yiiG,ra-sector,DUF3829 domain-containing lipoprotein YiiG,,,,CP,,notdefined,notdefined,,no
yiiM,a-sector,2-amino-6-<i>N</i>-hydroxylaminopurine resistance protein,,,,CP,,Function unknown,S,COG2258,no
yiiQ,a-sector,DUF1454 domain-containing protein YiiQ,,,,PE,other,notdefined,notdefined,,no
yiiR,s-sector,DUF805 domain-containing protein YiiR,,,,IM,membrane protein,Function unknown,S,COG3152,no
yiiS,a-sector,DUF406 domain-containing protein YiiS,,,,CP,,Function unknown,S,COG3691,no
yiiX,ra-sector,putative lipid binding hydrolase,,,,PE,other,notdefined,notdefined,,no
yijD,s-sector,DUF1422 domain-containing inner membrane protein YijD,,,,IM,membrane protein,notdefined,notdefined,,no
yijE,rca-sector,cystine exporter,,,,IM,other,notdefined,GER,COG0697,no
yijF,rca-sector,DUF1287 domain-containing protein YijF,,,,PE,other,Function unknown,S,COG3738,no
yijO,ra-sector,putative DNA-binding transcriptional regulator YijO,,,,CP,,Transcription,K,COG2207,no
yjaA,rca-sector,stress response protein,,,,CP,,notdefined,notdefined,,no
yjaB,rca-sector,peptidyl-lysine <i>N</i>-acetyltransferase YjaB,,,,CP,,"Translation, ribosomal structure and biogenesis",J,COG0456,no
yjaG,a-sector,DUF416 domain-containing protein YjaG,,,,CP,,Function unknown,S,COG3068,no
yjaH,rca-sector,DUF1481 domain-containing protein YjaH,,,,LPO,other,notdefined,notdefined,,no
yjaZ,rca-sector,protein YjaZ,,,,CP,,notdefined,notdefined,,no
yjbB,s-sector,putative inorganic phosphate export protein,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG1283,no
yjbD,a-sector,DUF3811 domain-containing protein YjbD,,,,CP,,notdefined,notdefined,,no
yjbE,s-sector,uncharacterized protein YjbE,,,,CP,,notdefined,notdefined,,no
yjbF,rca-sector,lipoprotein YjbF,,,,LPO,lipoprotein,notdefined,notdefined,,no
yjbG,s-sector,capsule biosynthesis GfcC family protein YjbG,,,,PE,other,notdefined,notdefined,,no
yjbH,rca-sector,YjbH family protein,,,,OM,transporter,notdefined,notdefined,,no
yjbI,rca-sector,pentapeptide repeats-containing protein YjbI,,,,CP,,notdefined,notdefined,,no
yjbJ,rca-sector,putative stress response protein,,,,CP,,Function unknown,S,COG3237,no
yjbL,rca-sector,uncharacterized protein YjbL,,,,CP,,notdefined,notdefined,,no
yjbM,s-sector,uncharacterized protein YjbM,,,,CP,,notdefined,notdefined,,no
yjbQ,s-sector,UPF0047 protein YjbQ,,,,CP,,Coenzyme transport and metabolism,H,COG0432,no
yjbR,s-sector,PF04237 family protein YjbR,,,,CP,,Transcription,K,COG2315,no
yjbS,rca-sector,uncharacterized protein YjbS,,,,CP,,notdefined,notdefined,,no
yjbT,rca-sector,PF17089 family protein YjbT,,,,CP,,notdefined,notdefined,,no
yjcB,ra-sector,uncharacterized protein YjcB,,,,IM,membrane protein,notdefined,notdefined,,no
yjcE,a-sector,putative transporter YjcE,,,,IM,transporter,Inorganic ion transport and metabolism,P,COG0025,no
yjcF,rca-sector,pentapeptide repeat-containing protein YjcF,,,,CP,,Function unknown,S,COG1357,no
yjcH,s-sector,DUF485 domain-containing inner membrane protein YjcH,,,,IM,membrane protein,Function unknown,S,COG3162,no
yjcO,s-sector,Sel1 repeat-containing protein YjcO,,,,PE,other,Signal transduction mechanisms,T,COG0790,no
yjcS,rca-sector,linear primary-alkylsulfatase,,,,PE,other,"Secondary metabolites biosynthesis, transport and catabolism",Q,COG2015,no
yjcZ,c-sector,uncharacterized protein YjcZ,,,,CP,,notdefined,notdefined,,no
